"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","5","495-1821-1-ND","B82477G4472M000","FIXED IND 4.7UH 6.8A 14 MOHM SMD","L1","5","0","1.05000","5.25"
"2","4","SIS468DN-T1-GE3CT-ND","SIS468DN-T1-GE3","MOSFET N-CH 80V 30A PPAK1212-8","Q5,Q7","4","0","1.86000","7.44"
"3","3","1866-5294-ND","LDD-700LS","LED DRIVER CC BUCK 2-28V 700MA","U2,U6","3","0","4.38000","13.14"
"4","4","175-MAX17506ATP+TCT-ND","MAX17506ATP+T","IC REG BUCK ADJ 20TQFN","U3,U5","4","0","6.18000","24.72"
"5","6","SAM13298CT-ND","TSM-106-01-L-DV-P-TR","CONN HEADER SMD 12POS 2.54MM","U7","6","0","1.36000","8.16"
"6","2","668-1539-1-ND","SMT-0952-T-5V-R","BUZZER PIEZO 5V 9X9MM SMD","BZ1","2","0","4.17000","8.34"
"7","2","SSW-120-01-T-D-LL-ND","SSW-120-01-T-D-LL","CONN RCPT 40POS 0.1 TIN PCB","J1","2","0","3.98000","7.96"
"8","6","S5676-ND","NPTC062KFMS-RC","CONN HDR 12POS 0.1 TIN SMD","J3,J9,J10","6","0","1.49000","8.94"
"9","3","CON-SMA-EDGE-S-ND","CON-SMA-EDGE-S","CONN SMA JACK STR EDGE MNT","J4","3","0","2.52000","7.56"
"10","5","10129379-910001BLF-ND","10129379-910001BLF","CONN HEADER R/A 10POS 2.54MM","J8","5","0","0.26000","1.30"
"11","10","490-2635-1-ND","LQG15HSR10J02D","FIXED IND 100NH 200MA 1.25 OHM","L1","10","0","0.04200","0.42"
"12","2","672-MAX-M10M-00BCT-ND","MAX-M10M-00B","GNSS LCC RX MOD, ROM, CRYSTAL","U1","2","0","7.56000","15.12"

